ticket_id,industry,category,priority,sentiment,title,description,created_date,channel,resolution_time_hours
TKT-000042,SaaS / Tech,technical,high,negative,Rate limiting triggering below threshold,Hitting 429 at 130 req/min — well below documented 1000 req/min limit.,2025-10-22,email,4
TKT-000043,SaaS / Tech,delivery,low,negative,Partner discount missing from renewal,"Catalyst Group account has 30% partner discount agreed with Robert Jackson on 2026-01-12. Renewal invoice REF-71991 doesn't include it.

Looking forward to your response.",2025-05-14,mobile,120
TKT-000045,SaaS / Tech,billing,low,positive,Annual plan invoiced monthly,"Good morning,

Switched to annual plan on 2026-01-02 for 20% discount. Still charged every 30 days. Account: ACC3255175.",2025-10-24,mobile,96
TKT-000048,SaaS / Tech,account,medium,negative,Invited user gets Access Denied after accepting,"Invited Jessica Walker to NovaFlow workspace. They accepted but see 'Access Denied' on all pages. Admin shows them active. I am very frustrated.

Best,",2025-05-06,mobile,96
TKT-000050,SaaS / Tech,technical,high,negative,Webhooks stopped delivering events,"I'm really frustrated because webhook endpoint for payment.completed stopped on 2026-02-08. No outbound attempts in logs. 

Regards,",2025-09-20,web,24
TKT-000052,SaaS / Tech,technical,high,negative,Tax exemption not applied,"Hi,

Submitted tax exemption cert for Vanguard Tech 4 weeks ago. Still charged 8% sales tax.

Looking forward to your response.",2025-11-06,chat,4
TKT-000055,SaaS / Tech,account,medium,neutral,SSO users have no password fallback,"Hi,

When IdP is down, SSO users cannot log in at all. They have no password set. Need fallback.

Best,",2026-02-03,mobile,96
TKT-000057,SaaS / Tech,account,medium,negative,Workspace transfer request stuck pending,Requested workspace ownership transfer to Hassan Thompson on 2026-02-02. Still shows 'Pending Approval'. I am very frustrated.,2025-03-23,mobile,48
TKT-000058,SaaS / Tech,technical,high,negative,Webhooks stopped delivering events,"I'm really frustrated because webhook endpoint for payment.completed stopped on 2026-02-10. No outbound attempts in logs. 

Thanks,",2025-06-16,web,1
TKT-000062,SaaS / Tech,account,low,positive,2FA enforcement locking out users,"Hey,

After enforcing 2FA on 2026-02-08, 13 users locked out. Setup flow errors after QR scan.",2025-12-19,web,96
TKT-000065,SaaS / Tech,billing,high,negative,Credit card on file expired but no notification,"Hi,

Auto-pay failed because card expired. We received no email warning. Workspace suspended before we knew. I am very frustrated.

I expect a quick resolution.",2025-08-29,email,24
TKT-000066,SaaS / Tech,account,low,neutral,SSO users have no password fallback,"Hey,

When IdP is down, SSO users cannot log in at all. They have no password set. Need fallback.

Best,",2025-04-27,email,48
TKT-000074,SaaS / Tech,technical,high,negative,Rate limiting triggering below threshold,"Hi there,

I'm really frustrated because hitting 429 at 103 req/min — well below documented 1000 req/min limit.",2026-01-30,mobile,8
TKT-000075,SaaS / Tech,billing,medium,negative,Partner discount missing from renewal,"Hi,

Synapse IO account has 30% partner discount agreed with Yusuf Allen on 2026-01-09. Renewal invoice REF-26806 doesn't include it.",2025-02-13,web,12
TKT-000080,SaaS / Tech,account,medium,neutral,GDPR export request not fulfilled,"Hi there,

Submitted GDPR export for Megan Martin on 2026-02-06. No file, no update. Legal deadline approaching.",2025-12-10,web,24
TKT-000081,SaaS / Tech,technical,medium,negative,CSV export producing corrupted output,"Every export generates corrupted CSV. Columns misaligned, garbled characters (â€™). Started 2026-02-06.

Please help ASAP.",2025-03-23,mobile,24
TKT-000082,SaaS / Tech,account,low,neutral,GDPR export request not fulfilled,"Hi,

Submitted GDPR export for Natalie Williams on 2026-02-05. No file, no update. Legal deadline approaching.

Thank you,",2025-09-26,web,120
TKT-000086,SaaS / Tech,technical,high,negative,Bulk CSV import failing above 500 rows,"Import fails at validation for CSVs over 581 rows. Using official template exactly. This has been going on for too long.

Looking forward to your response.",2025-05-12,web,4
TKT-000089,SaaS / Tech,delivery,high,positive,Invoice PDF download returns 403 error,'Download PDF' returns 403 Forbidden for all invoices. Cannot access for 6 weeks.,2026-01-21,email,8
TKT-000090,SaaS / Tech,technical,high,positive,Mobile app data sync delay 2–6 hours,"Hey,

Web changes take 6 hours to appear on mobile. Field team working with stale data.",2025-04-13,mobile,8
TKT-000092,SaaS / Tech,technical,high,negative,Mobile app data sync delay 2–6 hours,"Hey,

Web changes take 4 hours to appear on mobile. Field team working with stale data. I need this resolved immediately.

Looking forward to your response.",2025-11-12,email,8
TKT-000094,SaaS / Tech,billing,high,positive,Tax exemption not applied,"Hey,

Submitted tax exemption cert for Meridian Labs 5 weeks ago. Still charged 9% sales tax.

Thanks,",2025-06-23,mobile,24
TKT-000097,SaaS / Tech,technical,high,negative,REST API intermittent 500 errors,"Good afternoon,

CoreLogic Inc integration receiving HTTP 500 since 2026-02-09. Happens every 12 min. Request IDs: REF-70375, REF-46988.

Thank you,",2025-09-23,chat,2
TKT-000106,SaaS / Tech,account,high,neutral,API key rotation failed silently,"Good morning,

Rotated API key on 2026-02-11. Old key still works, new key returns 401. Rotation didn't complete.

Looking forward to your response.",2026-01-30,mobile,2
TKT-000109,SaaS / Tech,account,low,positive,API key rotation failed silently,"To whom it may concern,

Rotated API key on 2026-02-08. Old key still works, new key returns 401. Rotation didn't complete.

Looking forward to your response.",2025-10-27,mobile,24
TKT-000110,SaaS / Tech,billing,high,negative,Workspace suspended despite payment,Payment failed on 2026-02-09. Updated and paid within 3 hours. Workspace still suspended 3 days later. I am very frustrated.,2025-03-03,mobile,4
TKT-000114,SaaS / Tech,technical,high,negative,Dashboard loading 73+ seconds,"This is unacceptable — main analytics dashboard takes 68+ seconds since 2026-02-08. Team of 19 blocked.

Thanks,",2025-02-20,email,48
TKT-000116,SaaS / Tech,billing,high,negative,Still billed for 84 seats after downgrading to 42,"We are Synapse IO. Downgraded from 84 to 42 seats on 2026-02-11. Latest invoice still shows 84 seats at $581/seat.

Please help ASAP.",2025-09-17,web,4
TKT-000117,SaaS / Tech,account,high,negative,Invited user gets Access Denied after accepting,"Hey,

I'm having a serious issue — invited David Miller to Zenith Digital workspace. They accepted but see 'Access Denied' on all pages. Admin shows them active. I am very frustrated.

Looking forward to your response.",2025-08-01,email,8
TKT-000122,SaaS / Tech,technical,high,negative,Bulk CSV import failing above 500 rows,"Good morning,

I can't believe that import fails at validation for CSVs over 504 rows. Using official template exactly. I am very frustrated.

Best,",2025-05-19,web,12
TKT-000129,SaaS / Tech,technical,medium,negative,REST API intermittent 500 errors,"To whom it may concern,

NovaFlow integration receiving HTTP 500 since 2026-02-11. Happens every 19 min. Request IDs: REF-71651, REF-57359. This has been going on for too long.",2025-02-19,mobile,24
TKT-000131,SaaS / Tech,account,high,negative,Admin cannot assign custom roles,"Hey,

I can't believe that workspace admin at Meridian Labs cannot assign roles to any users. Role dropdown greyed out. Started 2026-02-10. I need this resolved immediately.

Thank you,",2026-01-28,email,48
TKT-000135,SaaS / Tech,billing,high,negative,Annual plan invoiced monthly,"Dear support team,

Switched to annual plan on 2026-01-04 for 20% discount. Still charged every 30 days. Account: ACC3939477. I am very frustrated.",2025-07-07,chat,48
TKT-000136,SaaS / Tech,billing,high,negative,Free trial converted to paid without consent,"Dear support team,

I'm really frustrated because signed up for 14-day trial on 2026-02-03. $278 charge appeared on day 9. Never upgraded.

Best,",2025-08-06,mobile,48
TKT-000138,SaaS / Tech,account,medium,neutral,Workspace transfer request stuck pending,"Hi,

Requested workspace ownership transfer to Hannah Smith on 2026-02-08. Still shows 'Pending Approval'.

Looking forward to your response.",2025-05-06,web,24
TKT-000139,SaaS / Tech,account,high,negative,GDPR export request not fulfilled,"Hello,

Submitted GDPR export for Emily Ali on 2026-02-01. No file, no update. Legal deadline approaching. I am very frustrated.

Regards,",2025-10-20,web,8
TKT-000140,SaaS / Tech,technical,high,negative,Webhooks stopped delivering events,"Hi,

Webhook endpoint for payment.completed stopped on 2026-02-08. No outbound attempts in logs. ",2025-11-30,web,8
TKT-000143,SaaS / Tech,technical,medium,negative,CSV export producing corrupted output,"Hi,

Every export generates corrupted CSV. Columns misaligned, garbled characters (â€™). Started 2026-02-11.

Please help ASAP.",2025-08-19,web,24
TKT-000146,SaaS / Tech,technical,high,negative,Bulk CSV import failing above 500 rows,"Dear support team,

Import fails at validation for CSVs over 616 rows. Using official template exactly. I need this resolved immediately.

Best,",2025-07-04,mobile,12
TKT-000147,SaaS / Tech,technical,high,negative,Bulk CSV import failing above 500 rows,"Hi there,

Import fails at validation for CSVs over 401 rows. Using official template exactly. Please fix this as soon as possible.

Please help ASAP.",2025-11-14,web,8
TKT-000150,SaaS / Tech,billing,high,positive,Free trial converted to paid without consent,"Hello,

Signed up for 14-day trial on 2026-01-25. $157 charge appeared on day 3. Never upgraded.",2026-02-06,web,12
TKT-000151,SaaS / Tech,billing,high,neutral,Credit card on file expired but no notification,"Hi,

Auto-pay failed because card expired. We received no email warning. Workspace suspended before we knew.",2025-10-01,chat,48
TKT-000161,SaaS / Tech,billing,high,negative,Credit card on file expired but no notification,"I can't believe that auto-pay failed because card expired. We received no email warning. Workspace suspended before we knew. I need this resolved immediately.

I expect a quick resolution.",2025-03-22,web,48
TKT-000162,SaaS / Tech,technical,medium,neutral,Rate limiting triggering below threshold,"Hi there,

Hitting 429 at 340 req/min — well below documented 2000 req/min limit. Please fix this as soon as possible.

Looking forward to your response.",2025-05-23,web,12
TKT-000164,SaaS / Tech,account,low,neutral,GDPR export request not fulfilled,"Hi there,

Submitted GDPR export for Jennifer Hall on 2026-02-03. No file, no update. Legal deadline approaching.

Best,",2025-02-26,email,24
TKT-000167,SaaS / Tech,technical,high,negative,Bulk CSV import failing above 500 rows,"Import fails at validation for CSVs over 362 rows. Using official template exactly.

Thank you,",2025-04-09,mobile,8
TKT-000170,SaaS / Tech,billing,medium,negative,Workspace suspended despite payment,"Payment failed on 2026-02-06. Updated and paid within 4 hours. Workspace still suspended 4 days later.

Looking forward to your response.",2025-08-05,chat,72
TKT-000171,SaaS / Tech,account,low,negative,Invited user gets Access Denied after accepting,"Hi there,

This is unacceptable — invited Yusuf Perez to NovaFlow workspace. They accepted but see 'Access Denied' on all pages. Admin shows them active.

Thank you,",2025-03-28,mobile,120
TKT-000174,SaaS / Tech,account,medium,neutral,GDPR export request not fulfilled,"Submitted GDPR export for Samantha Walker on 2026-02-02. No file, no update. Legal deadline approaching.",2025-03-08,mobile,96
TKT-000175,SaaS / Tech,billing,low,negative,Partner discount missing from renewal,"Good morning,

CoreLogic Inc account has 30% partner discount agreed with Kevin Carter on 2025-12-16. Renewal invoice REF-49683 doesn't include it. This is very urgent.

Looking forward to your response.",2025-03-31,web,24
TKT-000176,SaaS / Tech,technical,high,positive,CSV export producing corrupted output,"To whom it may concern,

Every export generates corrupted CSV. Columns misaligned, garbled characters (â€™). Started 2026-02-07.",2025-11-29,chat,2
TKT-000179,SaaS / Tech,billing,high,positive,Tax exemption not applied,"Submitted tax exemption cert for Vertex Analytics 10 weeks ago. Still charged 8% sales tax.

Please help ASAP.",2025-07-06,mobile,8
TKT-000180,SaaS / Tech,account,low,neutral,Workspace transfer request stuck pending,"Hi there,

Requested workspace ownership transfer to Daniel Hassan on 2026-02-10. Still shows 'Pending Approval'.

Regards,",2025-06-20,email,120
TKT-000184,SaaS / Tech,account,high,negative,Audit logs missing critical actions,Compliance team found file deletions missing from audit log.,2026-01-13,chat,48
TKT-000187,SaaS / Tech,technical,high,positive,Bulk CSV import failing above 500 rows,"Hi there,

Import fails at validation for CSVs over 400 rows. Using official template exactly.

Thanks,",2025-04-07,email,8
TKT-000191,SaaS / Tech,account,high,negative,Admin cannot assign custom roles,"Hello,

This is unacceptable — workspace admin at PrismData cannot assign roles to any users. Role dropdown greyed out. Started 2026-02-07.

Please help ASAP.",2025-03-05,web,8
TKT-000192,SaaS / Tech,account,medium,neutral,Custom domain stuck Unverified after 72 hours,"Good afternoon,

Added DNS TXT on 2026-02-09. Still 'Pending Verification' after 75 hours. DNS propagated.",2025-02-18,web,8
TKT-000193,SaaS / Tech,account,high,positive,GDPR export request not fulfilled,"Good afternoon,

Submitted GDPR export for Mohammed Taylor on 2026-02-01. No file, no update. Legal deadline approaching.

Thanks,",2026-01-07,web,12
TKT-000197,SaaS / Tech,technical,medium,neutral,OAuth token refresh returning 401,Refresh requests return 401 even with valid tokens. Sessions expire every 24 minutes.,2025-06-15,chat,8
TKT-000199,SaaS / Tech,billing,high,negative,Still billed for 57 seats after downgrading to 28,"Dear support team,

We are CoreLogic Inc. Downgraded from 57 to 28 seats on 2026-01-31. Latest invoice still shows 57 seats at $403/seat.",2025-02-23,web,48
TKT-000200,SaaS / Tech,billing,high,negative,Invoice PDF download returns 403 error,"Good afternoon,

I can't believe that 'Download PDF' returns 403 Forbidden for all invoices. Cannot access for 3 weeks. This has been going on for too long.

Thank you,",2025-07-24,mobile,24
TKT-000201,SaaS / Tech,billing,high,neutral,Still billed for 44 seats after downgrading to 22,"We are Vertex Analytics. Downgraded from 44 to 22 seats on 2026-02-11. Latest invoice still shows 44 seats at $490/seat.

Best,",2025-07-08,mobile,48
TKT-000204,SaaS / Tech,account,medium,neutral,SSO users have no password fallback,"Hey,

When IdP is down, SSO users cannot log in at all. They have no password set. Need fallback.

I expect a quick resolution.",2025-06-23,mobile,8
TKT-000205,SaaS / Tech,account,medium,positive,API key rotation failed silently,"Good afternoon,

Rotated API key on 2026-02-10. Old key still works, new key returns 401. Rotation didn't complete.

I expect a quick resolution.",2025-05-30,web,12
TKT-000208,SaaS / Tech,technical,medium,negative,SAML SSO broken after v4.1 update,"Hi,

SSO with Google Workspace broken since 2026-02-11. Users hit error after authenticating.

Best,",2025-05-17,web,8
TKT-000209,SaaS / Tech,account,low,neutral,Audit logs missing critical actions,"Good afternoon,

Compliance team found file deletions missing from audit log.

Regards,",2025-12-19,chat,48
TKT-000210,SaaS / Tech,account,low,neutral,SSO users have no password fallback,"When IdP is down, SSO users cannot log in at all. They have no password set. Need fallback.

I expect a quick resolution.",2025-09-06,web,120
TKT-000216,SaaS / Tech,billing,medium,neutral,SCIM provisioning failing with 400,"New users via Okta SCIM not provisioning. Endpoint returns 400 Bad Request.

Please help ASAP.",2025-09-25,mobile,48
TKT-000220,SaaS / Tech,billing,high,negative,Partner discount missing from renewal,"Good morning,

I can't believe that catalyst Group account has 30% partner discount agreed with Samantha Rahman on 2025-12-26. Renewal invoice REF-65396 doesn't include it. 

Thanks,",2025-03-07,email,8
TKT-000225,SaaS / Tech,technical,low,negative,REST API intermittent 500 errors,"To whom it may concern,

NexaTech integration receiving HTTP 500 since 2026-02-11. Happens every 20 min. Request IDs: REF-39902, REF-55585.

Thanks,",2025-12-05,mobile,24
TKT-000227,SaaS / Tech,billing,high,negative,Partner discount missing from renewal,"Good afternoon,

I can't believe that prismData account has 30% partner discount agreed with Rebecca Smith on 2026-01-28. Renewal invoice REF-54909 doesn't include it. This has been going on for too long.",2026-01-15,web,12
TKT-000231,SaaS / Tech,billing,high,negative,Proration charge on invoice makes no sense,Invoice shows $11 proration charge but we haven't changed plans or seats in 7 months. ,2025-10-13,web,4
TKT-000232,SaaS / Tech,account,medium,neutral,Custom domain stuck Unverified after 72 hours,"Good afternoon,

Added DNS TXT on 2026-02-11. Still 'Pending Verification' after 113 hours. DNS propagated.

Best,",2026-01-07,chat,48
TKT-000238,SaaS / Tech,technical,high,positive,Webhooks stopped delivering events,"Webhook endpoint for user.updated stopped on 2026-02-10. No outbound attempts in logs.

Please help ASAP.",2025-11-25,mobile,8
TKT-000242,SaaS / Tech,technical,low,negative,Webhooks stopped delivering events,"Hi,

Webhook endpoint for payment.completed stopped on 2026-02-10. No outbound attempts in logs. This has been going on for too long.",2025-03-26,chat,72
TKT-000246,SaaS / Tech,account,medium,negative,Custom domain stuck Unverified after 72 hours,"Hey,

Added DNS TXT on 2026-02-07. Still 'Pending Verification' after 72 hours. DNS propagated. This is very urgent.",2025-03-24,chat,8
TKT-000253,SaaS / Tech,technical,high,negative,Mobile app data sync delay 2–6 hours,"Hi there,

I can't believe that web changes take 5 hours to appear on mobile. Field team working with stale data. This is very urgent.

I expect a quick resolution.",2025-10-21,web,4
TKT-000255,SaaS / Tech,account,high,neutral,SCIM provisioning failing with 400,"New users via Azure AD SCIM not provisioning. Endpoint returns 400 Bad Request.

Thanks,",2026-01-14,web,4
TKT-000256,SaaS / Tech,account,medium,negative,Admin cannot assign custom roles,"Hey,

I'm really frustrated because workspace admin at Meridian Labs cannot assign roles to any users. Role dropdown greyed out. Started 2026-02-05. This is very urgent.",2025-03-06,mobile,96
TKT-000257,SaaS / Tech,account,low,neutral,Workspace transfer request stuck pending,"Requested workspace ownership transfer to Hassan Hassan on 2026-02-02. Still shows 'Pending Approval'.

Regards,",2025-02-26,email,72
TKT-000258,SaaS / Tech,account,low,positive,GDPR export request not fulfilled,"Submitted GDPR export for Natalie Smith on 2026-02-10. No file, no update. Legal deadline approaching.

Thank you,",2025-04-14,web,48
TKT-000261,SaaS / Tech,billing,high,negative,Still billed for 44 seats after downgrading to 22,"Hello,

We are NexaTech. Downgraded from 44 to 22 seats on 2026-01-15. Latest invoice still shows 44 seats at $522/seat. 

Please help ASAP.",2025-05-09,email,4
TKT-000262,SaaS / Tech,billing,high,neutral,Workspace suspended despite payment,"Good afternoon,

Payment failed on 2026-02-09. Updated and paid within 4 hours. Workspace still suspended 2 days later.

Thank you,",2025-12-23,mobile,4
TKT-000265,SaaS / Tech,billing,high,negative,Still billed for 37 seats after downgrading to 18,"Hello,

I'm having a serious issue — we are BlueSky Solutions. Downgraded from 37 to 18 seats on 2026-02-10. Latest invoice still shows 37 seats at $64/seat.",2025-09-25,email,8
TKT-000266,SaaS / Tech,technical,medium,negative,REST API intermittent 500 errors,"Hey,

I'm having a serious issue — vertex Analytics integration receiving HTTP 500 since 2026-02-08. Happens every 6 min. Request IDs: REF-81974, REF-51682. This has been going on for too long.

Thank you,",2025-09-28,mobile,24
TKT-000269,SaaS / Tech,technical,high,negative,Dashboard loading 73+ seconds,"I'm really frustrated because main analytics dashboard takes 52+ seconds since 2026-02-09. Team of 14 blocked.

Thanks,",2025-07-05,web,4
TKT-000276,SaaS / Tech,account,medium,neutral,Custom domain stuck Unverified after 72 hours,"Hello,

Added DNS TXT on 2026-02-07. Still 'Pending Verification' after 92 hours. DNS propagated.

I expect a quick resolution.",2025-08-29,web,96
TKT-000277,SaaS / Tech,technical,medium,positive,CSV export producing corrupted output,"Hi,

Every export generates corrupted CSV. Columns misaligned, garbled characters (â€™). Started 2026-02-09.",2025-08-06,web,12
TKT-000280,SaaS / Tech,billing,high,neutral,Credit card on file expired but no notification,"Hi,

Auto-pay failed because card expired. We received no email warning. Workspace suspended before we knew.

Best,",2025-03-22,web,24
TKT-000284,SaaS / Tech,account,high,neutral,SCIM provisioning failing with 400,"New users via Okta SCIM not provisioning. Endpoint returns 400 Bad Request.

Thank you,",2025-04-28,web,1
TKT-000286,SaaS / Tech,technical,high,neutral,OAuth token refresh returning 401,Refresh requests return 401 even with valid tokens. Sessions expire every 23 minutes.,2025-05-23,email,1
TKT-000287,SaaS / Tech,technical,high,neutral,Search index not updating after record creation,"Dear support team,

New records don't appear in search for up to 47 hours. Users creating duplicates.",2025-03-27,email,1
TKT-000290,SaaS / Tech,account,medium,positive,2FA enforcement locking out users,"Hey,

After enforcing 2FA on 2026-02-10, 49 users locked out. Setup flow errors after QR scan.

Please help ASAP.",2026-01-30,email,24
TKT-000291,SaaS / Tech,technical,medium,negative,OAuth token refresh returning 401,"To whom it may concern,

I'm having a serious issue — refresh requests return 401 even with valid tokens. Sessions expire every 48 minutes.

I expect a quick resolution.",2025-04-27,mobile,24
TKT-000293,SaaS / Tech,account,low,neutral,SSO users have no password fallback,"When IdP is down, SSO users cannot log in at all. They have no password set. Need fallback.

Thanks,",2026-01-03,web,168
TKT-000297,SaaS / Tech,billing,medium,negative,Charged $581 for feature never activated,"Hi,

This is unacceptable — invoice includes $581 for Enterprise Analytics Add-on. We never enabled this. Our plan is Growth.",2025-09-01,mobile,12
TKT-000299,SaaS / Tech,technical,high,negative,OAuth token refresh returning 401,"Good morning,

Refresh requests return 401 even with valid tokens. Sessions expire every 43 minutes.",2025-02-15,mobile,4
TKT-000300,SaaS / Tech,billing,high,negative,Tax exemption not applied,Submitted tax exemption cert for Acme Corp 6 weeks ago. Still charged 6% sales tax.,2025-04-23,web,4
TKT-000303,SaaS / Tech,technical,high,neutral,OAuth token refresh returning 401,"Hi,

Refresh requests return 401 even with valid tokens. Sessions expire every 21 minutes.

I expect a quick resolution.",2025-09-11,web,24
TKT-000308,SaaS / Tech,technical,high,negative,Webhooks stopped delivering events,"Hello,

Webhook endpoint for order.created stopped on 2026-02-09. No outbound attempts in logs. This has been going on for too long.",2025-10-26,email,2
TKT-000313,SaaS / Tech,technical,medium,negative,Search index not updating after record creation,"Hi there,

New records don't appear in search for up to 25 hours. Users creating duplicates. Please fix this as soon as possible.

I expect a quick resolution.",2026-01-13,mobile,8
TKT-000314,SaaS / Tech,billing,high,negative,Annual plan invoiced monthly,"To whom it may concern,

This is unacceptable — switched to annual plan on 2026-01-16 for 20% discount. Still charged every 30 days. Account: ACC5257930.

Regards,",2025-09-07,mobile,1
TKT-000319,SaaS / Tech,technical,high,negative,Bulk CSV import failing above 500 rows,"Hey,

Import fails at validation for CSVs over 476 rows. Using official template exactly.

I expect a quick resolution.",2025-06-09,mobile,8
TKT-000320,SaaS / Tech,billing,high,neutral,Proration charge on invoice makes no sense,"Invoice shows $58 proration charge but we haven't changed plans or seats in 7 months.

Thank you,",2026-02-03,chat,8
TKT-000325,SaaS / Tech,technical,high,negative,CSV export producing corrupted output,"Good morning,

Every export generates corrupted CSV. Columns misaligned, garbled characters (â€™). Started 2026-02-05. ",2025-07-21,email,4
TKT-000326,SaaS / Tech,technical,medium,neutral,SAML SSO broken after v4.1 update,"Hey,

SSO with Okta broken since 2026-02-07. Users hit error after authenticating.

Looking forward to your response.",2025-03-05,chat,24
TKT-000327,SaaS / Tech,account,low,neutral,Custom domain stuck Unverified after 72 hours,"Good morning,

Added DNS TXT on 2026-02-09. Still 'Pending Verification' after 106 hours. DNS propagated.

Looking forward to your response.",2025-03-23,mobile,168
TKT-000328,SaaS / Tech,technical,high,negative,Mobile app data sync delay 2–6 hours,Web changes take 5 hours to appear on mobile. Field team working with stale data.,2025-04-21,email,2
TKT-000329,SaaS / Tech,technical,medium,negative,Mobile app data sync delay 2–6 hours,"Good morning,

Web changes take 3 hours to appear on mobile. Field team working with stale data.",2026-02-08,email,12
TKT-000330,SaaS / Tech,account,medium,negative,Custom domain stuck Unverified after 72 hours,"Dear support team,

I'm really frustrated because added DNS TXT on 2026-02-07. Still 'Pending Verification' after 76 hours. DNS propagated. This has been going on for too long.",2025-11-08,mobile,24
TKT-000332,SaaS / Tech,account,high,neutral,SSO users have no password fallback,"Good morning,

When IdP is down, SSO users cannot log in at all. They have no password set. Need fallback.",2025-05-24,email,2
TKT-000338,SaaS / Tech,technical,high,positive,Bulk CSV import failing above 500 rows,"To whom it may concern,

Import fails at validation for CSVs over 663 rows. Using official template exactly.",2025-10-29,web,8
TKT-000339,SaaS / Tech,billing,high,neutral,Charged $394 for feature never activated,Invoice includes $394 for Enterprise Analytics Add-on. We never enabled this. Our plan is Growth.,2025-10-11,mobile,8
TKT-000342,SaaS / Tech,technical,high,negative,SAML SSO broken after v4.1 update,SSO with Okta broken since 2026-02-10. Users hit error after authenticating.,2025-04-18,web,8
TKT-000352,SaaS / Tech,billing,high,negative,Still billed for 11 seats after downgrading to 5,We are PrismData. Downgraded from 11 to 5 seats on 2026-01-17. Latest invoice still shows 11 seats at $191/seat.,2025-07-13,web,1
TKT-000354,SaaS / Tech,account,medium,positive,SSO users have no password fallback,"When IdP is down, SSO users cannot log in at all. They have no password set. Need fallback.

Best,",2025-08-07,chat,72
TKT-000356,SaaS / Tech,technical,high,negative,Search index not updating after record creation,"New records don't appear in search for up to 12 hours. Users creating duplicates. 

Please help ASAP.",2025-03-12,web,48
TKT-000359,SaaS / Tech,technical,high,negative,Dashboard loading 71+ seconds,I'm having a serious issue — main analytics dashboard takes 69+ seconds since 2026-02-10. Team of 11 blocked.,2026-01-27,mobile,4
TKT-000368,SaaS / Tech,technical,medium,negative,CSV export producing corrupted output,"Every export generates corrupted CSV. Columns misaligned, garbled characters (â€™). Started 2026-02-08. I am very frustrated.

Thanks,",2025-11-25,mobile,96
TKT-000369,SaaS / Tech,billing,medium,negative,Proration charge on invoice makes no sense,"Hi there,

I'm really frustrated because invoice shows $20 proration charge but we haven't changed plans or seats in 3 months. ",2026-02-11,email,24
TKT-000373,SaaS / Tech,billing,high,negative,Invoice PDF download returns 403 error,"To whom it may concern,

'Download PDF' returns 403 Forbidden for all invoices. Cannot access for 5 weeks. 

I expect a quick resolution.",2025-10-05,email,2
TKT-000377,SaaS / Tech,billing,high,negative,Partner discount missing from renewal,"Good afternoon,

I'm having a serious issue — orbis Systems account has 30% partner discount agreed with Rachel Martin on 2026-01-06. Renewal invoice REF-77956 doesn't include it. 

I expect a quick resolution.",2026-01-26,email,4
TKT-000379,SaaS / Tech,billing,medium,negative,Credit card on file expired but no notification,"Hi,

I can't believe that auto-pay failed because card expired. We received no email warning. Workspace suspended before we knew. This has been going on for too long.

Best,",2025-07-07,mobile,24
TKT-000381,SaaS / Tech,technical,high,negative,Rate limiting triggering below threshold,"Hey,

Hitting 429 at 269 req/min — well below documented 1000 req/min limit.

I expect a quick resolution.",2025-03-27,web,12
